key,Ametal,Bmetal,AandB,symbol,Crystal System,Surface,experimentally_observed,Full_optimized_DFT_H_ads_energy,surface_energy,Cost
mp-12107_H_0_110,Pt,Ti,Pt-Ti,TiPt3,Cubic,110,True,-0.17746719,1.9892042648443984,23032.092930000003
mp-12798_H_0_110,Ni,Pt,Ni-Pt,Ni3Pt,Cubic,110,True,-0.38265782,1.9777192353496904,7688.6037275
mp-13100_H_0_110,Mo,Pt,Mo-Pt,MoPt3,Cubic,110,False,-0.38821362,1.8475690049706333,23045.870270000003
mp-1339_H_0_110,Ir,Nb,Ir-Nb,NbIr3,Cubic,110,True,-0.29656967,2.870033606628823,102500.605
mp-1649_H_0_110,Fe,Pt,Fe-Pt,Fe3Pt,Cubic,110,True,-0.29594434,2.741016852683747,7676.8700375
mp-20971_H_0_110,Pt,Sn,Pt-Sn,SnPt3,Cubic,110,True,-0.1106465,1.3798659673609843,23038.0455125
mp-265_H_0_110,Ir,Ta,Ir-Ta,TaIr3,Cubic,110,True,-0.27636881,2.981379770127845,102568.165
mp-649_H_0_110,Fe,Pt,Fe-Pt,FePt3,Cubic,110,True,-0.29361635,1.8796612572856632,23030.4100125
mp-922_H_0_110,Co,Pt,Co-Pt,CoPt3,Cubic,110,True,-0.33814362,1.8217212975837789,23038.809965
mp-976847_H_0_110,Ni,Sb,Ni-Sb,Ni3Sb,Cubic,110,False,-0.38971604,1.3633372294469126,19.12411
mp-999543_H_0_110,Co,Mn,Co-Mn,MnCo3,Cubic,110,False,-0.35129912,2.760451717663064,25.2908075
mp-30788_H_0_110,Mo,Sn,Mo-Sn,Sn2Mo6,Cubic,110,True,-0.10641572,2.289443157487141,54.1163225
mp-1185931_H_1_110,Mn,Pt,Mn-Pt,Mn6Pt2,Hexagonal,110,False,-0.3596025,2.6206120043004866,7676.8427375
mp-1189793_H_0_110,Pt,Ti,Pt-Ti,Ti4Pt12,Hexagonal,110,True,-0.38157045,2.02115133092808,23032.092930000003
mp-1207123_H_0_110,Nb,Sb,Nb-Sb,Nb2Sb2,Hexagonal,110,False,-0.10558666,1.2693267902561558,54.835765
mp-13138_H_1_110,Cu,Sn,Cu-Sn,Cu6Sn2,Hexagonal,110,True,-0.20526428,0.8183737217358753,15.4369325
mp-13138_H_2_110,Cu,Sn,Cu-Sn,Cu6Sn2,Hexagonal,110,True,-0.24812978,0.8360542288747876,15.4369325
mp-19856_H_0_110,Pt,Sn,Pt-Sn,Sn2Pt2,Hexagonal,110,True,-0.24397403,0.8700026901406995,15368.911025
mp-30846_H_0_110,Pt,Sn,Pt-Sn,Sn6Pt4,Hexagonal,110,True,-0.13023442,0.6934930464557473,12301.25723
mp-810_H_0_110,Ni,Sb,Ni-Sb,Ni2Sb2,Hexagonal,110,True,-0.13558148,0.7874967661318009,22.50325
mp-972220_H_0_110,Pt,Ti,Pt-Ti,Ti2Pt6,Hexagonal,110,False,-0.36266554,2.0169047254976635,23032.092930000003
mp-976893_H_0_110,Ni,Sb,Ni-Sb,Ni6Sb2,Hexagonal,110,False,-0.34125687,1.3559026261090326,19.12411
mp-1225695_H_1_110,Cu,Ni,Cu-Ni,CuNi,Orthorhombic,110,False,-0.39195918,1.7201500738571105,13.056765
mp-1225698_H_1_110,Cu,Ni,Cu-Ni,Cu3Ni,Orthorhombic,110,False,-0.36906741,1.4674136323920812,11.7126625
mp-11514_H_0_110,Nb,Pt,Nb-Pt,NbPt2,Orthorhombic,110,True,-0.33916334,1.6670693329959625,20498.25666666666
mp-952_H_0_110,Mo,Pt,Mo-Pt,MoPt2,Orthorhombic,110,True,-0.37196734,1.8061976613517865,20492.100359999997
mp-20900_H_0_110,Cu,Sb,Cu-Sb,Cu6Sb2,Orthorhombic,110,True,-0.31887671,0.609531294945055,15.0918025
mp-30850_H_2_110,Pt,Ta,Pt-Ta,Ta2Pt6,Orthorhombic,110,True,-0.24481237,2.0630555243327184,23118.0475
mp-30850_H_3_110,Pt,Ta,Pt-Ta,Ta2Pt6,Orthorhombic,110,True,-0.33424847,2.179145393589512,23118.0475
mp-581786_H_0_110,Cu,Sn,Cu-Sn,Cu6Sn2,Orthorhombic,110,True,-0.20045541,0.8879810439484255,15.4369325
mp-20714_H_1_110,Fe,Sb,Fe-Sb,Fe2Sb4,Orthorhombic,110,True,-0.1195679,0.6983816804707472,19.54103666666666
mp-20928_H_1_110,Ru,Sb,Ru-Sb,Sb4Ru2,Orthorhombic,110,True,-0.17453303,0.922146292386843,6771.164353333331
mp-20928_H_2_110,Ru,Sb,Ru-Sb,Sb4Ru2,Orthorhombic,110,True,-0.25121898,1.409456594972618,6771.164353333331
mp-9835_H_0_110,Co,Sb,Co-Sb,Co2Sb4,Orthorhombic,110,True,-0.31552281,1.2639229535401113,30.74097333333332
mp-1078755_H_0_110,Pt,Sb,Pt-Sb,Sb2Pt6,Tetragonal,110,True,-0.22174146,1.1524973366262523,23037.700382500003
mp-1100766_H_0_110,Ni,Pt,Ni-Pt,Ni3Pt,Tetragonal,110,False,-0.38095698,1.910228574554892,7688.6037275
mp-1100766_H_1_110,Ni,Pt,Ni-Pt,Ni3Pt,Tetragonal,110,False,-0.39483707,1.9565677558079992,7688.6037275
mp-1183752_H_1_110,Co,Cu,Co-Cu,Co3Cu,Tetragonal,110,False,-0.36847611,2.298903014839156,27.867035
mp-1184054_H_1_110,Cu,Ni,Cu-Ni,CuNi3,Tetragonal,110,False,-0.34027028,1.8874326426512271,14.4008675
mp-1184336_H_1_110,Fe,Ir,Fe-Ir,FeIr3,Tetragonal,110,False,-0.33650948,2.6981078987699503,102480.5275125
mp-974358_H_0_110,Ir,Ru,Ir-Ru,Ir3Ru,Tetragonal,110,False,-0.36166308,2.73274798265452,107544.245
mp-974358_H_1_110,Ir,Ru,Ir-Ru,Ir3Ru,Tetragonal,110,False,-0.35795733,2.733477660510741,107544.245
mp-11798_H_0_110,Fe,Pt,Fe-Pt,Fe3Pt,Tetragonal,110,False,-0.29037132,2.710263645076628,7676.8700375
mp-11798_H_1_110,Fe,Pt,Fe-Pt,Fe3Pt,Tetragonal,110,False,-0.34356771,2.486728237788535,7676.8700375
mp-1221425_H_0_110,Mo,Pt,Mo-Pt,MoPt3,Trigonal,110,False,-0.38459495,1.9276094294271944,23045.870270000003
mp-1007854_H_0_111,Fe,Ni,Fe-Ni,FeNi3,Cubic,111,False,-0.37972524,2.223405473822476,11.83374
mp-1007854_H_1_111,Fe,Ni,Fe-Ni,FeNi3,Cubic,111,False,-0.29806201,2.041815171273916,11.83374
mp-1007854_H_2_111,Fe,Ni,Fe-Ni,FeNi3,Cubic,111,False,-0.28407781,2.287886609171274,11.83374
mp-1007854_H_3_111,Fe,Ni,Fe-Ni,FeNi3,Cubic,111,False,-0.35319052,2.0633996226095124,11.83374
mp-1030_H_0_111,Pt,Sb,Pt-Sb,SbPt7,Cubic,111,True,-0.37849367,1.0038004518986072,26872.44019125
mp-1030_H_1_111,Pt,Sb,Pt-Sb,SbPt7,Cubic,111,True,-0.39838467,1.0129116781829457,26872.44019125
mp-1183707_H_2_111,Co,Mo,Co-Mo,CoMo3,Cubic,111,False,-0.31646198,2.551191822734044,54.880775
mp-1184260_H_0_111,Cu,Fe,Cu-Fe,Fe3Cu,Cubic,111,False,-0.28368135,2.1212152458255864,2.6671775
mp-1186214_H_0_111,Cu,Nb,Cu-Nb,Nb3Cu,Cubic,111,False,-0.28948856,1.9868429664227216,62.89964
mp-1187196_H_1_111,Ir,Ta,Ir-Ta,Ta3Ir,Cubic,111,False,-0.11180275,2.8686256180069134,34423.155000000006
mp-1187204_H_0_111,Pt,Ta,Pt-Ta,Ta3Pt,Cubic,111,False,-0.34697202,2.498027100812773,7939.7825
mp-1187204_H_1_111,Pt,Ta,Pt-Ta,Ta3Pt,Cubic,111,False,-0.28687396,2.674761059596121,7939.7825
mp-12608_H_0_111,Cu,Pt,Cu-Pt,CuPt7,Cubic,111,True,-0.31508381,1.2849705460356056,26870.07857
mp-2002_H_2_111,Cu,Sb,Cu-Sb,Cu3Sb,Cubic,111,True,-0.25022178,0.3525314378507502,15.0918025
mp-2083_H_0_111,Ir,Sn,Ir-Sn,Sn2Ir,Cubic,111,True,-0.21408715,1.1597298908364242,45567.31803333332
mp-2083_H_1_111,Ir,Sn,Ir-Sn,Sn2Ir,Cubic,111,True,-0.23445964,0.5908732212532807,45567.31803333332
mp-998982_H_1_111,Sn,Ti,Sn-Ti,Ti3Sn,Cubic,111,False,-0.34814295,1.7119074078746366,12.7843025
mp-999378_H_2_111,Nb,Ni,Nb-Ni,NbNi3,Cubic,111,False,-0.28103197,2.1301488868628176,31.9112275
mp-1521_H_0_111,Mo,Sb,Mo-Sb,Sb14Mo6,Cubic,111,True,-0.11712251,0.7810018342942635,39.065395
mp-1521_H_3_111,Mo,Sb,Mo-Sb,Sb14Mo6,Cubic,111,True,-0.24921452,0.9208718427110844,39.065395
mp-1521_H_4_111,Mo,Sb,Mo-Sb,Sb14Mo6,Cubic,111,True,-0.26555459,1.1793411579387292,39.065395
mp-22040_H_0_111,Ir,Sn,Ir-Sn,Sn14Ir6,Cubic,111,True,-0.26290944,0.7320200322155602,41013.650435
mp-22040_H_2_111,Ir,Sn,Ir-Sn,Sn14Ir6,Cubic,111,True,-0.23295784,0.6493845105063588,41013.650435
mp-22344_H_3_111,Ru,Sn,Ru-Sn,Sn14Ru6,Cubic,111,True,-0.31299132,0.9146548232717824,6097.940435
mp-22344_H_4_111,Ru,Sn,Ru-Sn,Sn14Ru6,Cubic,111,True,-0.31873276,1.288475568836799,6097.940435
mp-1006883_H_0_111,Co,Ni,Co-Ni,CoNi,Cubic,111,False,-0.33952242,2.2467008355368105,24.722415
mp-1006883_H_1_111,Co,Ni,Co-Ni,CoNi,Cubic,111,False,-0.35076552,2.2627798335612748,24.722415
mp-10596_H_0_111,Fe,Ir,Fe-Ir,FeIr3,Cubic,111,True,-0.34625809,2.147532233507372,102480.5275125
mp-11364_H_1_111,Cu,Ti,Cu-Ti,TiCu,Cubic,111,False,-0.11639606,1.6640553084086245,8.60014
mp-11552_H_0_111,Pt,Ti,Pt-Ti,TiPt,Cubic,111,True,-0.20994828,1.4462153638763169,15357.00586
mp-1180_H_0_111,Mn,Pt,Mn-Pt,MnPt3,Cubic,111,True,-0.3152699,1.5059626390724012,23030.4009125
mp-12086_H_0_111,Cu,Pt,Cu-Pt,Cu3Pt,Cubic,111,True,-0.26992337,1.11463643985212,7684.57142
mp-12107_H_0_111,Pt,Ti,Pt-Ti,TiPt3,Cubic,111,True,-0.39687499,1.5553047921741578,23032.092930000003
mp-13100_H_0_111,Mo,Pt,Mo-Pt,MoPt3,Cubic,111,False,-0.223725,1.3492172535520166,23045.870270000003
mp-571_H_0_111,Ni,Ti,Ni-Ti,TiNi,Cubic,111,True,-0.3594055,1.7971421397956835,11.288345
mp-649_H_0_111,Fe,Pt,Fe-Pt,FePt3,Cubic,111,True,-0.33782389,1.4896830027293586,23030.4100125
mp-823_H_0_111,Co,Ti,Co-Ti,TiCo,Cubic,111,True,-0.35495702,2.134950444491253,20.26579
mp-922_H_0_111,Co,Pt,Co-Pt,CoPt3,Cubic,111,True,-0.35906491,1.4534916932848247,23038.809965
mp-1186237_H_0_111,Nb,Sn,Nb-Sn,Nb2Sn6,Hexagonal,111,False,-0.37137331,0.3599505788723528,43.0840375
mp-1207123_H_1_111,Nb,Sb,Nb-Sb,Nb2Sb2,Hexagonal,111,False,-0.15162561,1.4643030934280614,54.835765
mp-13138_H_0_111,Cu,Sn,Cu-Sn,Cu6Sn2,Hexagonal,111,True,-0.21137339,0.887685669246072,15.4369325
mp-19856_H_0_111,Pt,Sn,Pt-Sn,Sn2Pt2,Hexagonal,111,True,-0.34966611,1.0004623291219608,15368.911025
mp-19856_H_1_111,Pt,Sn,Pt-Sn,Sn2Pt2,Hexagonal,111,True,-0.1204486,1.000737249316762,15368.911025
mp-30846_H_0_111,Pt,Sn,Pt-Sn,Sn6Pt4,Hexagonal,111,True,-0.16003284,0.7748709980066928,12301.25723
mp-30846_H_1_111,Pt,Sn,Pt-Sn,Sn6Pt4,Hexagonal,111,True,-0.13424118,0.7986411243259854,12301.25723
mp-30846_H_2_111,Pt,Sn,Pt-Sn,Sn6Pt4,Hexagonal,111,True,-0.14286467,0.7331177379393158,12301.25723
mp-30846_H_3_111,Pt,Sn,Pt-Sn,Sn6Pt4,Hexagonal,111,True,-0.1758301,0.7715941811355762,12301.25723
mp-30846_H_4_111,Pt,Sn,Pt-Sn,Sn6Pt4,Hexagonal,111,True,-0.13754732,0.7443710956662091,12301.25723
mp-810_H_0_111,Ni,Sb,Ni-Sb,Ni2Sb2,Hexagonal,111,True,-0.23478475,0.94748501374226,22.50325
mp-810_H_1_111,Ni,Sb,Ni-Sb,Ni2Sb2,Hexagonal,111,True,-0.25123753,0.974519201520344,22.50325
mp-1078699_H_4_111,Nb,Pt,Nb-Pt,Nb2Pt6,Orthorhombic,111,True,-0.39771754,2.032090716665301,23050.487500000003
mp-20900_H_0_111,Cu,Sb,Cu-Sb,Cu6Sb2,Orthorhombic,111,True,-0.21583818,0.6577320801144291,15.0918025
mp-20900_H_1_111,Cu,Sb,Cu-Sb,Cu6Sb2,Orthorhombic,111,True,-0.11551656,0.6693477376300563,15.0918025
mp-20900_H_2_111,Cu,Sb,Cu-Sb,Cu6Sb2,Orthorhombic,111,True,-0.32133275,0.7215577921659687,15.0918025
mp-20900_H_4_111,Cu,Sb,Cu-Sb,Cu6Sb2,Orthorhombic,111,True,-0.22956366,0.6998114138207773,15.0918025
mp-20900_H_5_111,Cu,Sb,Cu-Sb,Cu6Sb2,Orthorhombic,111,True,-0.12943948,0.7693177435605769,15.0918025
mp-581786_H_1_111,Cu,Sn,Cu-Sn,Cu6Sn2,Orthorhombic,111,True,-0.28738664,0.879571648035104,15.4369325
mp-581786_H_2_111,Cu,Sn,Cu-Sn,Cu6Sn2,Orthorhombic,111,True,-0.1654559,0.9228705716964664,15.4369325
mp-581786_H_4_111,Cu,Sn,Cu-Sn,Cu6Sn2,Orthorhombic,111,True,-0.15613835,0.91288737116892,15.4369325
mp-581786_H_5_111,Cu,Sn,Cu-Sn,Cu6Sn2,Orthorhombic,111,True,-0.11466557,0.9791747644927596,15.4369325
mp-20714_H_0_111,Fe,Sb,Fe-Sb,Fe2Sb4,Orthorhombic,111,True,-0.39459594,0.8950870337118576,19.54103666666666
mp-20714_H_1_111,Fe,Sb,Fe-Sb,Fe2Sb4,Orthorhombic,111,True,-0.22668033,0.978068075445276,19.54103666666666
mp-20928_H_4_111,Ru,Sb,Ru-Sb,Sb4Ru2,Orthorhombic,111,True,-0.11719895,1.1656839623886563,6771.164353333331
mp-9835_H_0_111,Co,Sb,Co-Sb,Co2Sb4,Orthorhombic,111,True,-0.28788707,0.925476788589998,30.74097333333332
mp-9835_H_1_111,Co,Sb,Co-Sb,Co2Sb4,Orthorhombic,111,True,-0.11799429,0.9529375511879384,30.74097333333332
mp-1072181_H_0_111,Fe,Sb,Fe-Sb,Fe2Sb4,Tetragonal,111,True,-0.24070503,0.4956042589605582,19.54103666666666
mp-1072181_H_2_111,Fe,Sb,Fe-Sb,Fe2Sb4,Tetragonal,111,True,-0.33548246,0.4446906230441501,19.54103666666666
mp-20086_H_0_111,Mn,Sn,Mn-Sn,Mn2Sn4,Tetragonal,111,True,-0.20002387,0.9817795413194864,20.44925
mp-20086_H_1_111,Mn,Sn,Mn-Sn,Mn2Sn4,Tetragonal,111,True,-0.17013869,1.0782427095371876,20.44925
mp-20086_H_2_111,Mn,Sn,Mn-Sn,Mn2Sn4,Tetragonal,111,True,-0.18710522,0.9243512356025304,20.44925
mp-20086_H_3_111,Mn,Sn,Mn-Sn,Mn2Sn4,Tetragonal,111,True,-0.23399633,0.8823831430502391,20.44925
mp-20155_H_0_111,Co,Sn,Co-Sn,Co2Sn4,Tetragonal,111,True,-0.22184664,0.837899625797754,31.66131999999999
mp-20155_H_2_111,Co,Sn,Co-Sn,Co2Sn4,Tetragonal,111,True,-0.17701998,0.8027734497268889,31.66131999999999
mp-20155_H_3_111,Co,Sn,Co-Sn,Co2Sn4,Tetragonal,111,True,-0.22348949,0.8340814320354135,31.66131999999999
mp-22752_H_0_111,Fe,Sn,Fe-Sn,Fe2Sn4,Tetragonal,111,True,-0.34644242,0.9164452975652364,20.461383333333327
mp-22752_H_1_111,Fe,Sn,Fe-Sn,Fe2Sn4,Tetragonal,111,True,-0.19619126,1.0121810051045506,20.461383333333327
mp-22752_H_2_111,Fe,Sn,Fe-Sn,Fe2Sn4,Tetragonal,111,True,-0.19716073,0.8564519572753387,20.461383333333327
mp-22752_H_3_111,Fe,Sn,Fe-Sn,Fe2Sn4,Tetragonal,111,True,-0.23018211,0.8554232019640398,20.461383333333327
